"location_name","location_type","location_fips_code","population","state","county","metro","2017_01","2017_02","2017_03","2017_04","2017_05","2017_06","2017_07","2017_08","2017_09","2017_10","2017_11","2017_12","2018_01","2018_02","2018_03","2018_04","2018_05","2018_06","2018_07","2018_08","2018_09","2018_10","2018_11","2018_12","2019_01","2019_02","2019_03","2019_04","2019_05","2019_06","2019_07","2019_08","2019_09","2019_10","2019_11","2019_12","2020_01","2020_02","2020_03","2020_04","2020_05","2020_06","2020_07","2020_08","2020_09","2020_10","2020_11","2020_12","2021_01","2021_02","2021_03","2021_04","2021_05","2021_06","2021_07","2021_08","2021_09","2021_10","2021_11","2021_12","2022_01","2022_02","2022_03","2022_04","2022_05","2022_06","2022_07","2022_08","2022_09","2022_10","2022_11","2022_12","2023_01","2023_02","2023_03","2023_04","2023_05","2023_06","2023_07","2023_08","2023_09","2023_10","2023_11","2023_12","2024_01","2024_02","2024_03","2024_04","2024_05","2024_06","2024_07","2024_08","2024_09","2024_10","2024_11","2024_12","2025_01","2025_02","2025_03","2025_04"
"United States","National",0,326569308,,,,0.0644185020849863,0.0649168842168572,0.0651374719740925,0.0652045522261464,0.0655116065919834,0.0657203988239333,0.0658089045274332,0.0666554005681178,0.0668074296227953,0.0659470287940387,0.0652531795670512,0.0642918730688226,0.0642075056729967,0.0650226014887797,0.0655491773088156,0.065494582888411,0.0649645882900797,0.0643905662662012,0.0637256730301026,0.0626663127002004,0.0619477145211912,0.061360739717196,0.0610224828864141,0.0615541655782569,0.0621152043135231,0.0626928001325739,0.0631208779477064,0.0630967231720198,0.0628395902748917,0.0623555107534912,0.0619470444606435,0.0614229360631764,0.0611445481111782,0.061051297866361,0.0611909470396449,0.0617022504715711,0.0621844647558178,0.0627106549989067,0.0632644386162468,0.0648204196944775,0.0666109664178639,0.0678361714624623,0.0682967967724198,0.0674771729876919,0.0661174316165759,0.0649448849402989,0.0642675045729459,0.063867962870816,0.0628956020110034,0.0615189560676284,0.0594359249316969,0.0557664028988155,0.0517149836682813,0.0473015400507606,0.0431042113476237,0.0400744999684681,0.0384794830297868,0.0382576637829173,0.0390024066290353,0.0404399139254325,0.041898734531675,0.0434433028440683,0.0447112717925873,0.0455649410625513,0.0461506649664222,0.0465744587505086,0.0473921120598605,0.048785280680278,0.0507253986840729,0.0526583013246763,0.0544068505506987,0.0558978116534141,0.0569034023316211,0.0578831017183257,0.0587712129455648,0.059466768701105,0.0602343761439001,0.0608654042833242,0.0613203681685046,0.0619853504692217,0.0625831254658569,0.0632131149729845,0.0638788078055943,0.0644330277474299,0.0651128796301597,0.0658491439888226,0.0661996514459886,0.0665891938718517,0.0667970516264728,0.0668248625254483,0.0670555732863749,0.0670451715607682,0.0671964917491186,0.0674615614396826,0.0678482891590936,0.0682958409373595,0.0684763375655738,0.0688061426415545,0.0692475997697672,0.0695809029914618
"California","State",6,39346023,"California",,,0.0473699180571739,0.0499074411363946,0.0498656527036514,0.0494447531824477,0.0501055071054413,0.0501822904057198,0.0505519249691324,0.0519391768737512,0.0529124118673866,0.0527437168060162,0.0530966594630218,0.0530693663270995,0.0528901847742806,0.0527442651078432,0.0525084783030192,0.0521729753898239,0.0519216743789936,0.0524579679855987,0.0531353329999178,0.0532196596868608,0.0532564979249127,0.0530919918719421,0.0525751369634327,0.0526360290566557,0.0526637519377407,0.0524575367958203,0.0528908447906046,0.0532315765810268,0.0537612878556009,0.0543881670459369,0.0545705808036231,0.0543588170648502,0.0543364384007804,0.0543427846327254,0.0542174683593938,0.0544137395165296,0.05410762634728,0.0538583202694271,0.0541204136208197,0.0559225296537312,0.0583632760407621,0.0610561128009073,0.0633777236761274,0.0643222488527784,0.0641172778998349,0.0626425629673382,0.0608208293882869,0.0587529362543102,0.0567442747380008,0.0551078506087919,0.0533204467616338,0.0506456284785835,0.0475094146263359,0.0438624645314408,0.0398062810842137,0.0362351329694764,0.0341009098331557,0.0334796917372942,0.0339755611734088,0.035133708357944,0.0359145264574867,0.03636137053716,0.0367226349234366,0.0368461936339333,0.0371895784774498,0.0375739320643847,0.0380830630588097,0.0392747526401343,0.0408731517601619,0.0425331192585262,0.0443401594884215,0.0458938816091263,0.0467423437265451,0.0474967232964326,0.0479123535423829,0.0481305469061113,0.048741141352389,0.0491394911466919,0.04908347372428,0.0490925068577887,0.049441236262881,0.0501744648844627,0.0513391233771799,0.0521751769601062,0.0523414746517575,0.0521502326348434,0.0517996813384449,0.0518864267370652,0.0520064325084974,0.0520936049600335,0.0520132249891218,0.0516388526764016,0.0512328393893409,0.0511616829962223,0.051277676971361,0.0513546015838186,0.050800365703345,0.0499995911669277,0.0494742327782279,0.049309839459992
"Texas","State",48,28635442,"Texas",,,0.080130750886218,0.0808251232761693,0.081464187081147,0.081781085753913,0.0822545342756552,0.0824169692557749,0.0824599016051359,0.0833513579184115,0.0820011579225295,0.079537278947353,0.0772585895493405,0.0747718289821163,0.0751372131159852,0.0763952473423835,0.0770652641571504,0.0771108156217342,0.0767286283435622,0.076663249355884,0.0767309623625105,0.0765138027903221,0.0766948737092748,0.0771821353987548,0.0777685957274541,0.0790711881075595,0.08018727129392,0.0809964036467333,0.0814538782001909,0.0812441271715132,0.0806819608630915,0.0796178715557042,0.0786106037429039,0.0776376713761251,0.0769856487239303,0.0768039723867679,0.0770879636031708,0.0777305264391769,0.07846300418777,0.0793881540003488,0.0801228283640856,0.0816086900787792,0.0830353265244181,0.0836326412335951,0.0836197578706705,0.0828649020627205,0.0817122673650855,0.0810303548644271,0.0809259290360768,0.0810943800044784,0.0802250009063963,0.0784579463049483,0.0753793763542654,0.0700346151576355,0.0645882368688248,0.0588324777721323,0.0537220270124092,0.0501031096647331,0.0480177309060129,0.047419969637681,0.0479255121700387,0.0491557934124216,0.050565487061822,0.0523949895804689,0.0540783601817195,0.0556334647209181,0.0568277814112792,0.0576023722582852,0.0586280204325168,0.0600528031823205,0.0622817942107781,0.0645211780304633,0.0665784077154906,0.0685080321195431,0.0696188292843186,0.0708491665961409,0.0722913418772182,0.0729087878733606,0.0737995692423123,0.0745486914783742,0.0748999901958959,0.0759463879605143,0.0767810768056436,0.0776586659661654,0.0784923898785799,0.079301175200238,0.0806804145887987,0.0818946700243077,0.0822190891243417,0.0824749923739619,0.0821931140194832,0.0820295193208502,0.08254643259894,0.0827524000717727,0.0830564433972695,0.083348055549791,0.0837969685252516,0.084451679204487,0.0851042240247933,0.0859758971171561,0.0867445212060651,0.0872461383339704
"Florida","State",12,21216924,"Florida",,,0.0682836683985732,0.0679970523860638,0.0687939684504987,0.0693060983100846,0.0708051434489301,0.0719824350252527,0.071691881440264,0.071067024214411,0.069006058954846,0.0661884341961971,0.063402684628617,0.0609676418263209,0.0596158987488125,0.0600368625045915,0.061283656050789,0.0623927142061012,0.0630197122461812,0.0631478799020195,0.0627583664969844,0.061511147267075,0.060559957305362,0.0598989387171261,0.0592233160210904,0.0600493005794158,0.0608580730183596,0.0615218421569985,0.062500869160668,0.0633392878161189,0.0641161311028259,0.0644514947902203,0.0646623817743766,0.0641452452634608,0.0639037750628652,0.0638138017322555,0.0641584147484528,0.0650467022555687,0.0653991381206066,0.0660069242277665,0.0668216572463597,0.068932328894903,0.071121083877451,0.0726003601562427,0.0725280267533828,0.0710358634030296,0.0691632282921502,0.0672466322358928,0.0659403892089402,0.0644785776689735,0.0622922183815354,0.059314428639352,0.0558019029843269,0.0506008921759536,0.0447620480995495,0.0389285503178931,0.0336330335388733,0.0299180522236818,0.0284270411636028,0.0288708093048242,0.0303719424209882,0.032829913478343,0.0353521047347461,0.0379008126789417,0.0403794885389663,0.0424606520148455,0.0443947109133273,0.0459914528834037,0.0475413579012865,0.0490424340382625,0.0504635502170023,0.0513060947406005,0.0517497855159854,0.0520438649249324,0.0523381905375933,0.053479043253202,0.0551068086752967,0.0569425505788698,0.0589283599038185,0.0606500142692862,0.0617422227030038,0.0631433454734794,0.0640298589186454,0.0646743718117624,0.0655742996115484,0.0659197991239665,0.0659267012405154,0.0660545828990526,0.065809943967688,0.0662393196603831,0.0675288170133199,0.0688510904962032,0.0702086481605123,0.0705558994091561,0.0703567729516306,0.0697614201478698,0.0691079232218659,0.0688105279446105,0.0685900578425404,0.0695017038537766,0.0711940027195187,0.0727852409521945
"New York","State",36,19514849,"New York",,,0.0435404530805625,0.0527692447042479,0.0544152192362546,0.0550304404584573,0.0579099299467999,0.0573998991137339,0.0557934172847746,0.0544429687495088,0.0545798668941387,0.051194664863961,0.0505935981651174,0.0504141123455442,0.0493945918343197,0.0506118303416989,0.0507723730408552,0.0505457258040225,0.0501778422212797,0.0495418799047356,0.0489446352606096,0.0475372337022515,0.0460257886185921,0.0446760333488659,0.0439484671593881,0.0442654139406516,0.0449385398623006,0.0454017783322624,0.0455048267435255,0.0447148210845244,0.0434286624020194,0.0429408305682008,0.0421718045413017,0.0413180774209118,0.0405499658724789,0.038801261526544,0.0376118291596487,0.0375015551291736,0.037314788577532,0.0373421225215497,0.0369660120904529,0.037036729289823,0.0404235755177492,0.0454953314187308,0.0505876270035845,0.0545824780806645,0.0550999659164378,0.0552795678395274,0.0550811428131354,0.0550068416180795,0.0550691146668476,0.054033885622522,0.0527200091366005,0.0501589947035933,0.0472237625549278,0.0432190585874375,0.0395665609772827,0.0369372904904623,0.034362074480397,0.0327432554736137,0.0314931355504028,0.0307339220719161,0.0304968171544581,0.0306815373899334,0.031433926071033,0.0322743990173676,0.032633768741128,0.0332700109757739,0.0347366760774602,0.0363840995029513,0.0390755551624644,0.0410529348921758,0.0424684846296224,0.0439241978796556,0.0452437840724943,0.0465191687829526,0.046259935214487,0.045482557662016,0.0439076029111106,0.0430780677483531,0.0430246740645972,0.0430571604999041,0.0436910650934868,0.0439336040482821,0.0440836349942829,0.0445126351150033,0.0446243297561738,0.0450176481540894,0.0455804514290182,0.045946430092864,0.0473582313691924,0.0485468564239121,0.0497696432399032,0.0500496032382517,0.0492781028779571,0.0484777834442749,0.0475323122224551,0.0477909333469787,0.0477542511593856,0.0473874627638756,0.0470038699695277,0.0466617281676852
"New York-Newark-Jersey City, NY-NJ-PA","Metro",35620,19261570,"New York",,"New York-Newark-Jersey City, NY-NJ-PA",0.0430105300367738,0.0502511214546602,0.0516683232941133,0.0526031053440934,0.0564036108258439,0.0571938426491912,0.0567242264097821,0.0554597286289517,0.0534501656693965,0.051068946079732,0.0511628703069967,0.0523311391075596,0.0538041110641828,0.0547948594842385,0.0551444583222165,0.0552020560252646,0.055406320050443,0.055416349822807,0.0550803010156906,0.0534367026883277,0.0512066045853798,0.0491373451883113,0.0473583217194757,0.0468231408843547,0.0466019923312952,0.0468948429635098,0.0474808326714719,0.0474297713848108,0.0475190142879982,0.0471952580389882,0.0462697815532135,0.0450200539831247,0.0434283090581605,0.0414169291695923,0.0396866733210335,0.0390289919096695,0.0383719295680841,0.0379774338142866,0.0376654910997748,0.0382763479782719,0.0408211712539651,0.0454148412510827,0.0501743379706513,0.0538355992853804,0.0552852650921613,0.0552117713598293,0.0545340509414994,0.0536836751565772,0.0525628209979578,0.0512551940433525,0.0498379555499779,0.0473641876641546,0.044830666856364,0.0414094814588645,0.0381324508687403,0.0355239872723409,0.0331016786773439,0.0313687213745812,0.0302082481307385,0.0291554331816042,0.0285838925030297,0.0284274135331398,0.0282190368575851,0.0283975797252087,0.0287272579189028,0.0291839159152277,0.0304558782419521,0.03198819855146,0.0338507768231454,0.0352585078484081,0.036176519515042,0.0369777301289522,0.0377206595024115,0.038180816247002,0.0383753615658985,0.038774248084593,0.0391875318714845,0.0403605005697905,0.0420115695214938,0.0427906430802685,0.0432706643102626,0.0431728593821351,0.042446899608599,0.0427898388700784,0.0426189705842447,0.0427707691448129,0.0430594376067033,0.0430774858874119,0.0443049128562035,0.0459631601887738,0.0476742576168753,0.0487443143184644,0.0491498954648239,0.049167010231546,0.0489496920009278,0.049428544502219,0.0493339422544079,0.048794776544477,0.0486718719504909,0.0483506960519705
"Los Angeles-Long Beach-Anaheim, CA","Metro",31080,13211027,"California",,"Los Angeles-Long Beach-Anaheim, CA",0.0514052939410692,0.0546626890369442,0.0549863243747558,0.0550584168079125,0.0567093747326242,0.0575122604196674,0.0578036155467138,0.0585217095184078,0.0586228547211819,0.0574919131797975,0.0577930982230082,0.0581580577113496,0.0580361568500368,0.0580360921732285,0.058164968125641,0.0584083695158406,0.0593144064384285,0.0610473921794855,0.0619914266502921,0.0615438708994013,0.0607058070363597,0.0594736994351471,0.0581996916201464,0.0580785459215756,0.0581064134346683,0.0581920788999829,0.059443405987792,0.0601241236609174,0.0613966128937672,0.062471297846131,0.0623496097046612,0.0614817779962424,0.0602540440730895,0.0585556893666798,0.0570349831025034,0.0569108906967858,0.0566323584342684,0.0576086185767877,0.0595796247593322,0.0631385241328041,0.0669576503927568,0.0700471105705958,0.0722402359266779,0.0721566465917709,0.070670466119331,0.0681983176012811,0.0654526267811546,0.0633395583181293,0.0618133831318678,0.0608024677029737,0.0596514103855353,0.0569593658059962,0.0533885717763842,0.0486718868931815,0.0431021511403093,0.0376674349385207,0.0339602681572138,0.0322805771548006,0.0320602868544102,0.0331153708530172,0.0340005090902035,0.0347719878573144,0.0359382539341247,0.0370416207649266,0.0382506190077573,0.0392661771418477,0.0397726511638769,0.0403087624602701,0.0410893189533329,0.0420155611697721,0.0435793719059753,0.0454160200268592,0.0467268555077744,0.0478782547831927,0.0485459849574447,0.0491441260646631,0.0500892789764349,0.0507571396847646,0.050768606082899,0.0502103003876703,0.0495849910323518,0.0493094548232539,0.0498236664260529,0.0505600436147506,0.051223372658393,0.0517318193851074,0.0519742764546006,0.0522961816663138,0.0524868900337436,0.0528758185384071,0.0528892598920105,0.0524390807995284,0.0515879440707586,0.0513295997135634,0.0513148138413917,0.051889512685976,0.0519136746826087,0.0510516657824569,0.050510551908141,0.0501650105952567
"Pennsylvania","State",42,12794885,"Pennsylvania",,,0.0519181582578215,0.049800243756162,0.049934840072113,0.0510312259491396,0.0527439960431489,0.0571562329286723,0.0605267557628525,0.0638466869103182,0.0664318757685301,0.0659588827935147,0.0656541647459273,0.064601470518385,0.0625804101052581,0.0618499251504682,0.0612777534599058,0.0608467304323292,0.0594823419101409,0.0579222340903612,0.0555836532854611,0.052317403226336,0.0499280719178316,0.0485669540549395,0.0478409033025158,0.047692359493122,0.0481034393126017,0.0476854804954939,0.0476512671170134,0.0483070315475319,0.0489311526829006,0.0494325884797409,0.0498720199631038,0.049490739953865,0.0498593871865631,0.0503889750110066,0.0517998313092333,0.0519892608410461,0.0517732162873487,0.0514929203707114,0.0507854525999398,0.0528923776420988,0.0566651425859603,0.0609890023575595,0.0646634899097808,0.0660296598624955,0.065034464857723,0.0625706503146357,0.0599633663125699,0.0587462567298657,0.0582368922443081,0.0580044919025404,0.0572858727389791,0.0547753154576753,0.0506539966249674,0.0463127750819786,0.0416840411610735,0.0376082927948149,0.034528120064072,0.0327678966009077,0.0327123089820174,0.0338581438579877,0.036053311509281,0.0384007246447722,0.0401408736514965,0.0413362302154669,0.0416878900973359,0.0416743597338018,0.0421139733013411,0.0431772358450536,0.0448866230060581,0.0468451978789976,0.0486095699729462,0.049840518151888,0.0510181948646424,0.0517191114170829,0.0524555322418211,0.0535749664205279,0.0541356447345047,0.0549368938346134,0.0551289490653501,0.0543951705194747,0.0535692010109895,0.0529389430828599,0.0527196931343665,0.0536007747457169,0.0557655703716253,0.05773047082152,0.0594281783857397,0.0608538925099755,0.0610877919557842,0.0604046972343471,0.0594128128203127,0.0575948614910943,0.0557080186467708,0.0546586122168007,0.053793398721385,0.0543542355691969,0.0558187659244031,0.0571359593896498,0.0589250053765269,0.0594598766927009
"Illinois","State",17,12716164,"Illinois",,,0.0525276146038381,0.0517367045350148,0.0510610918151504,0.0515574508348935,0.0521790991111746,0.0539308305223429,0.0573773871320232,0.0619598727416761,0.066407718735214,0.0696146771933032,0.0715870233287031,0.0718097084164801,0.071673125495393,0.072029104351964,0.072754752963863,0.071348986717676,0.0689945229629842,0.0669721949438593,0.0641680281531925,0.0635617699941537,0.0639797229279105,0.0638083550099376,0.0634700514584426,0.0632613481540761,0.0625769537349191,0.0615169527672914,0.0603299179144264,0.0582316058084972,0.0570580345220248,0.0573437514717764,0.0584113470356223,0.0592626993544221,0.0599675826911091,0.0595242128729067,0.0586811021467417,0.05878241625061,0.0583323740190997,0.058049157888718,0.0585703965967645,0.060060374332076,0.0637439799294077,0.0685447217184285,0.0728586426815731,0.0757444517098734,0.0759205020846956,0.0753285539714481,0.0735685875308013,0.0718788013234832,0.0700907511511791,0.0673544872285864,0.0646582664386971,0.0606063022401578,0.0570562543877988,0.0539469821260286,0.0511418334177951,0.0487888587468897,0.0464606469533513,0.0445519510212181,0.0432466390933285,0.0431186428963004,0.0435286485716524,0.0441659458095503,0.0449028696581543,0.0451950277760505,0.0451000999741141,0.0452139567270402,0.0457194224624792,0.0464623242424723,0.0473932797914327,0.0479053664823157,0.048081118064074,0.0484944370667813,0.0483084123442812,0.0480765602428432,0.0477757043522949,0.047608504181334,0.0485772990400521,0.050040524311978,0.0514634136739117,0.0526846288209455,0.0532807120926285,0.0530365627633737,0.0522172745616347,0.0514784636502262,0.0506772782493049,0.0505702081957421,0.0510761169143132,0.0518470040425366,0.0530748679374235,0.0541423609879785,0.0547701800640693,0.0542372230180808,0.0531785894190704,0.0517089439652698,0.0507360313341581,0.050279861890223,0.0497585453092334,0.0493777964917968,0.0488538467481024,0.0484481054971308
"Ohio","State",39,11675275,"Ohio",,,0.0906705973023787,0.0802946308246254,0.0760024263767865,0.0728731132209963,0.0637532822234502,0.0589534134446022,0.05547559305593,0.056124779158943,0.0594368689416342,0.0605253874112371,0.0608936802555783,0.0581678912352861,0.0553085259863264,0.055769000183843,0.05499366119507,0.0537636485576505,0.0513488574865774,0.0480588324994306,0.0457947406654644,0.0438751549817776,0.0431946650608782,0.0435774800708824,0.0439927740927167,0.0452818409213424,0.0463601493643146,0.0471279418385773,0.0482471774590126,0.0480849768906667,0.0472609463131615,0.0461222981654819,0.0447430702667404,0.043566928922389,0.0433192048966573,0.0436766661247001,0.0442529398689827,0.045514310000077,0.0466849602549118,0.0474628790797931,0.0479367643791587,0.0483074203972297,0.0483270932375074,0.0477817601107905,0.0470726401623902,0.0464689140573677,0.0457672403309541,0.0456106462473965,0.0459494287194322,0.0461300970563472,0.0459917102842657,0.0452817683486831,0.0437840291413327,0.0409259076930536,0.0378564488533173,0.0348492004171293,0.0324702680199099,0.0310985737187012,0.0307145110493142,0.0309286727849964,0.0310856059588563,0.031648980265229,0.0318764100821994,0.0325632799483013,0.0336396424549136,0.0341950236927434,0.0347062360644242,0.0345103101815528,0.0343615938050662,0.0355221307859206,0.0374760707371548,0.039835508149497,0.0422029843226433,0.0437607483487439,0.0448886280946619,0.0458032569218798,0.0460666196482491,0.0460575618613075,0.0457973737991092,0.0462305793381786,0.0475780911557508,0.0493179985291644,0.0517610601117223,0.0540630362341593,0.0551793739951103,0.0558401615807284,0.056415331369549,0.0569490981454236,0.0577253493165244,0.0579179211250331,0.0573569630933553,0.0566118446590925,0.0565806100774801,0.0571921568481054,0.0579515132755057,0.0585679088863432,0.0585288800264214,0.0581433177970796,0.0579661901535889,0.0573009083406584,0.0566505798552518,0.0560065624170693
